job_id,origin_city,power_demand_kw,duration_hours,earliest_start,deadline,priority,assigned_dc_id,assigned_city,scheduled_start,scheduled_end,scheduler_score,expected_co2_kg,expected_water_liters,scarcity_weighted_water_liters,relocated,scheduled,failure_reason
job_042_0004,Zone East,39.00000000,3,2025-01-03 11:00:00,2025-01-03 19:00:00,0,dc_2,Zone West,2025-01-03 11:00:00,2025-01-03 14:00:00,0.30175712,39.26096973,38.50050564,69.30091014,1,1,
job_042_0003,Zone North,18.00000000,5,2025-01-03 12:00:00,2025-01-04 15:00:00,0,dc_2,Zone West,2025-01-04 04:00:00,2025-01-04 09:00:00,0.18577951,20.91405136,26.95380621,48.51685118,1,1,
job_042_0139,Zone East,39.00000000,5,2025-01-03 12:00:00,2025-01-04 05:00:00,0,dc_2,Zone West,2025-01-04 00:00:00,2025-01-04 05:00:00,0.27134595,60.75747528,68.38345073,123.09021131,1,1,
job_042_0072,Zone East,37.00000000,2,2025-01-03 15:00:00,2025-01-04 14:00:00,0,dc_2,Zone West,2025-01-04 06:00:00,2025-01-04 08:00:00,0.17706618,16.13318370,21.90442532,39.42796558,1,1,
job_042_0157,Zone South,38.00000000,2,2025-01-04 04:00:00,2025-01-04 10:00:00,0,dc_2,Zone West,2025-01-04 06:00:00,2025-01-04 08:00:00,0.10797890,16.56921569,22.49643682,40.49358627,1,1,
job_042_0136,Zone South,22.00000000,5,2025-01-04 11:00:00,2025-01-04 21:00:00,0,dc_2,Zone West,2025-01-04 11:00:00,2025-01-04 16:00:00,0.34008951,38.56271297,37.18162395,66.92692311,1,1,
job_042_0084,Zone South,37.00000000,6,2025-01-04 14:00:00,2025-01-05 10:00:00,0,dc_2,Zone West,2025-01-05 04:00:00,2025-01-05 10:00:00,0.18292036,47.35585890,68.42656271,123.16781287,1,1,
job_042_0059,Zone South,41.00000000,4,2025-01-04 22:00:00,2025-01-05 16:00:00,0,dc_2,Zone West,2025-01-05 05:00:00,2025-01-05 09:00:00,0.18308021,33.58177159,50.17767867,90.31982160,1,1,
job_042_0074,Zone South,28.00000000,4,2025-01-04 22:00:00,2025-01-05 14:00:00,0,dc_2,Zone West,2025-01-05 05:00:00,2025-01-05 09:00:00,0.18308021,22.93389279,34.26768299,61.68182938,1,1,
job_042_0097,Zone West,18.00000000,5,2025-01-04 22:00:00,2025-01-05 19:00:00,0,dc_2,Zone West,2025-01-05 05:00:00,2025-01-05 10:00:00,0.07790342,18.73845327,27.57610698,49.63699256,0,1,
job_042_0088,Zone South,27.00000000,4,2025-01-05 09:00:00,2025-01-06 03:00:00,0,dc_2,Zone West,2025-01-05 09:00:00,2025-01-05 13:00:00,0.24127574,28.31761721,33.15141854,59.67255337,1,1,
